Name,Year ending Sep 2002,Year ending Sep 2003,Year ending Sep 2004,Year ending Sep 2005,Year ending Sep 2006,Year ending Sep 2007,Year ending Sep 2008,Year ending Sep 2009,Year ending Sep 2010,Year ending Sep 2011,Year ending Sep 2012,Year ending Sep 2013,Year ending Sep 2014,Year ending Sep 2015,Year ending Sep 2016,Year ending Sep 2017,Year ending Sep 2018,Year ending Sep 2019,Year ending Sep 2020,Year ending Sep 2021,Year ending Sep 2022,Year ending Sep 2023
England and Wales,99000,121500,143000,153000,162000,173000,175000,165000,179000,176700,178000,180000,188000,199950,210000,219000,225000,227000,236000,275000,270000,280000
England,102000,124995,145000,155000,164500,175000,177000,167500,181000,180000,180000,184000,191000,204000,215000,225000,230000,233000,242000,280000,275000,287000
North East,55000,67000,86000,95000,110000,119500,118000,113000,120000,115000,115000,117000,120000,124950,125000,126800,129950,130000,133000,148500,141000,150000
North West,63500,75500,96000,110000,120000,130000,130000,125000,130000,125000,125000,125000,134000,138000,143000,150000,155000,159328,165000,190000,187500,197500
Yorkshire and The Humber,62750,78500,99950,114300,123485,131580,131500,125000,135000,129000,127750,129995,135000,140000,145000,150000,155000,158000,163000,185000,181000,191750
East Midlands,76000,95000,119950,126500,132950,140000,140000,130000,138000,135000,135000,136500,145000,150000,160000,170000,179000,182500,190000,220000,225000,235000
West Midlands,81000,97500,121000,129500,137000,145000,145000,139000,147000,142500,142000,145000,151000,156000,164000,171500,180000,185000,192000,224000,225000,235000
East,115000,137500,156500,166000,173000,185000,191000,175000,189000,190000,190000,194000,207500,228000,249995,270000,278500,280000,289000,322500,326000,336000
London,170000,194000,215000,225500,238500,250000,265000,250000,284000,295000,300000,319950,351250,387000,430000,450000,457500,455000,475000,506000,520000,530000
South East,137500,160000,179000,188000,196500,215000,220000,200000,224950,224000,225000,230000,243500,260000,286500,305000,312500,315000,322500,360000,367500,380000
South West,113000,137000,157500,168000,175000,188000,190000,175000,188000,187000,187000,188900,196000,210000,221000,235000,243000,247000,255000,287500,295000,310000
Wales,63000,78000,100000,118000,125000,136000,135000,128000,134000,128000,128000,128975,133500,137000,142000,146000,150000,155000,160000,180000,190000,195000
